Term,                       Definition
"Pose",                     "Posisi dan orientasi suatu objek dalam ruang, sering direpresentasikan sebagai vektor atau matriks transformasi."
"Translation",              "Perpindahan suatu objek dari satu posisi ke posisi lain tanpa rotasi."
"Rotation",                 "Transformasi yang memutar suatu objek terhadap suatu titik/sumbu tertentu."
Basis,                      "Himpunan vektor yang saling bebas linear dan dapat digunakan untuk membangun seluruh vektor dalam suatu ruang vektor melalui kombinasi linear."
Change of basis,            "Proses mengubah representasi koordinat suatu vektor dari satu sistem basis ke sistem basis lain menggunakan matriks transformasi yang dapat dibalik."
Determinant,                "Nilai skalar dari matriks persegi yang menunjukkan apakah matriks dapat dibalik dan menggambarkan faktor perubahan skala dari transformasi linear yang direpresentasikan matriks tersebut."
Diagonal matrix,            "Matriks persegi yang semua elemen di luar diagonal utamanya bernilai nol."
Eigenvalue,                 "Bilangan skalar yang menunjukkan faktor skala perubahan suatu vektor ketika dikenai transformasi linear tertentu."
Eigenvector,                "Vektor tak nol yang arahannya tidak berubah ketika dikenai transformasi linear, hanya panjangnya yang dapat berubah sesuai eigenvalue-nya."
Identity matrix,            "Matriks persegi yang memiliki nilai 1 pada diagonal utama dan 0 pada elemen lainnya, yang jika dikalikan dengan matriks lain tidak mengubah matriks tersebut."
Inverse matrix,             "Matriks yang jika dikalikan dengan matriks asal menghasilkan matriks identitas. Matriks invers hanya ada jika determinan matriks tidak nol."
Linear independence,        "Kondisi dimana tidak ada vektor dalam suatu himpunan yang dapat dinyatakan sebagai kombinasi linear dari vektor lainnya."
Linear transformation,      "Pemetaan antara dua ruang vektor yang mempertahankan operasi penjumlahan vektor dan perkalian skalar."
Transformation,             "Pemetaan yang mengubah elemen dari satu himpunan ke himpunan lain. Dalam aljabar linear, biasanya mengacu pada pemetaan antar ruang vektor."
Matrix multiplication,      "Operasi antara dua matriks yang menghasilkan matriks baru, dimana setiap elemennya diperoleh dari hasil perkalian titik antara baris matriks pertama dan kolom matriks kedua."
Norm,                       "Fungsi yang mengukur panjang atau besar suatu vektor dan selalu menghasilkan nilai non-negatif."
Orthogonal matrix,          "Matriks persegi yang kolom-kolomnya berupa vektor ortonormal, sehingga invers matriks tersebut sama dengan transposenya."
Rotation matrix,            "Matriks ortogonal dengan determinan bernilai 1 yang digunakan untuk memutar vektor tanpa mengubah panjangnya."
Scalar,                     "Bilangan tunggal yang digunakan untuk mengalikan vektor atau matriks."
Span,                       "Himpunan semua vektor yang dapat dibentuk dari kombinasi linear suatu kumpulan vektor."
Symmetric matrix,           "Matriks persegi yang nilainya sama dengan transposenya."
Trace,                      "Jumlah seluruh elemen pada diagonal utama suatu matriks persegi."
Transpose,                  "Matriks yang diperoleh dengan menukar posisi baris menjadi kolom dan kolom menjadi baris."
Vector,                     "Objek matematis berupa kumpulan bilangan berurutan yang merepresentasikan arah dan/atau posisi dalam ruang."
Vector space,               "Himpunan vektor yang memenuhi aturan penjumlahan vektor dan perkalian skalar serta memenuhi aksioma aljabar tertentu."
